Results_Name,VSPAERO_Wrapper
Results_Timestamp,1745834227
Results_Date,4,28,2025
Results_Time,11,57,7
Analysis_Duration_Sec,1.222999999999999955e-02
ResultsVec,VSPAERO_History,VSPAERO_History,VSPAERO_History,VSPAERO_Polar,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,VSPAERO_Load,VSPAERO_Comp_Load,CpSlice_Wrapper
Results_Name,VSPAERO_History
Results_Timestamp,1745834225
Results_Date,4,28,2025
Results_Time,11,57,5
Alpha,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,1.274722737099999968e-02,1.337135284600000050e-02,1.426912539799999984e-02,1.426125623299999944e-02,1.432071773500000027e-02
CDo,1.319134419999999988e-02,1.317556160900000030e-02,1.308773149700000020e-02,1.309835727200000036e-02,1.310113282200000076e-02
CDt,1.378104215300000011e-02,1.391184425600000031e-02,1.412571017799999981e-02,1.406028984400000022e-02,1.413738747100000068e-02
CDtot,2.593857157100000130e-02,2.654691445500000080e-02,2.735685689500000004e-02,2.735961350500000153e-02,2.742185055699999929e-02
CDtott,2.697238635300000173e-02,2.708740586500000061e-02,2.721344167499999828e-02,2.715864711500000014e-02,2.723852029300000144e-02
CFx,2.593857157100000130e-02,2.654691445500000080e-02,2.735685689500000004e-02,2.735961350500000153e-02,2.742185055699999929e-02
CFxi,1.274722737099999968e-02,1.337135284600000050e-02,1.426912539799999984e-02,1.426125623299999944e-02,1.432071773500000027e-02
CFxo,1.319134419999999988e-02,1.317556160900000030e-02,1.308773149700000020e-02,1.309835727200000036e-02,1.310113282200000076e-02
CFy,-1.895740139999999962e-04,-1.520570680000000107e-04,-2.119523899999999997e-05,-4.991015000000000359e-06,-1.465675999999999975e-06
CFyi,-1.867311599999999959e-04,-1.487731079999999955e-04,-2.328278599999999843e-05,-4.943313000000000320e-06,-1.369755000000000025e-06
CFyo,-2.842853999999999921e-06,-3.283960999999999796e-06,2.087547000000000157e-06,-4.770199999999999926e-08,-9.592100000000000243e-08
CFz,-4.310670264909999827e-01,-4.414996837449999822e-01,-4.529932527659999986e-01,-4.534476264839999993e-01,-4.541134081370000186e-01
CFzi,-4.315140819769999747e-01,-4.419096594270000011e-01,-4.533917642949999993e-01,-4.538475809770000091e-01,-4.545144006769999967e-01
CFzo,4.470554859999999772e-04,4.099756820000000166e-04,3.985115279999999977e-04,3.999544919999999852e-04,4.009925399999999824e-04
CL,-4.310670264909999827e-01,-4.414996837449999822e-01,-4.529932527659999986e-01,-4.534476264839999993e-01,-4.541134081370000186e-01
CLi,-4.315140819769999747e-01,-4.419096594270000011e-01,-4.533917642949999993e-01,-4.538475809770000091e-01,-4.545144006769999967e-01
CLo,4.470554859999999772e-04,4.099756820000000166e-04,3.985115279999999977e-04,3.999544919999999852e-04,4.009925399999999824e-04
CMx,8.097111839999999831e-04,1.712698099999999851e-05,6.536530339999999974e-04,-1.178040099999999929e-05,1.302365999999999924e-06
CMxi,8.209625089999999766e-04,2.333021300000000126e-05,6.543396370000000408e-04,-1.173467400000000020e-05,1.309460000000000080e-06
CMxo,-1.125132500000000023e-05,-6.203232000000000208e-06,-6.866029999999999973e-07,-4.572700000000000308e-08,-7.093999999999999698e-09
CMy,2.151346745009999895e-01,1.753212985139999958e-01,1.778754267390000032e-01,1.779483145970000013e-01,1.781996494520000085e-01
CMyi,2.111454300220000080e-01,1.713241007350000122e-01,1.739039782919999944e-01,1.739739064949999969e-01,1.742247802690000125e-01
CMyo,3.989244478999999684e-03,3.997197778999999999e-03,3.971448447999999763e-03,3.974408102000000047e-03,3.974869181999999938e-03
CMz,-4.562121090999999781e-03,-3.700184949999999807e-04,-2.259765569999999896e-04,-3.512073199999999820e-05,-2.011668300000000019e-05
CMzi,-4.621061190000000200e-03,-4.138210649999999918e-04,-2.278287909999999984e-04,-3.567345500000000013e-05,-2.009667000000000151e-05
CMzo,5.894009899999999894e-05,4.380256999999999760e-05,1.852233000000000093e-06,5.527219999999999911e-07,-2.001200000000000079e-08
CS,-1.895740139999999962e-04,-1.520570680000000107e-04,-2.119523899999999997e-05,-4.991015000000000359e-06,-1.465675999999999975e-06
CSi,-1.867311599999999959e-04,-1.487731079999999955e-04,-2.328278599999999843e-05,-4.943313000000000320e-06,-1.369755000000000025e-06
